state,district,age_0_5,age_5_17,age_18_greater,Total_Enrollment,demo_age_5_17,biometric_age_5_17,youth_ratio,demo_update_ratio,biometric_update_ratio,Education_Engagement_Index,Education_Cluster,Education_Status
Andaman and Nicobar Islands,Andamans,70,5,0,75,0.0,0.0,0.0666666666666666,0.0,0.0,0.03,0,Critical - Severe Education Exclusion
Andaman and Nicobar Islands,Nicobar,64,11,0,75,0.0,0.0,0.1466666666666666,0.0,0.0,0.066,0,Critical - Severe Education Exclusion
Andaman and Nicobar Islands,Nicobars,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,Critical - Severe Education Exclusion
Andaman and Nicobar Islands,North And Middle Andaman,128,4,0,132,0.0,0.0,0.0303030303030303,0.0,0.0,0.0136363636363636,0,Critical - Severe Education Exclusion
Andaman and Nicobar Islands,South Andaman,216,12,0,228,0.0,0.0,0.0526315789473684,0.0,0.0,0.0236842105263157,0,Critical - Severe Education Exclusion
Andhra Pradesh,Adilabad,1137,281,1,1419,2596.0,0.0,0.1980267794221282,1.0,0.0,0.3891120507399577,1,Moderate Education Engagement
Andhra Pradesh,Alluri Sitharama Raju,1105,116,34,1255,1569.0,0.0,0.0924302788844621,1.0,0.0,0.341593625498008,1,Low Education Engagement
Andhra Pradesh,Anakapalli,523,12,8,543,1772.0,0.0,0.0220994475138121,1.0,0.0,0.3099447513812154,1,Low Education Engagement
Andhra Pradesh,Anantapur,4089,326,0,4415,8956.0,0.0,0.0738391845979614,1.0,0.0,0.3332276330690826,1,Low Education Engagement
Andhra Pradesh,Ananthapur,1843,151,0,1994,9092.0,0.0,0.0757271815446339,1.0,0.0,0.3340772316950852,1,Low Education Engagement
Andhra Pradesh,Ananthapuramu,3018,159,10,3187,11812.0,0.0,0.0498901788515845,1.0,0.0,0.322450580483213,1,Low Education Engagement
Andhra Pradesh,Annamayya,868,48,105,1021,5789.0,0.0,0.0470127326150832,1.0,0.0,0.3211557296767874,1,Low Education Engagement
Andhra Pradesh,Bapatla,421,55,16,492,2008.0,0.0,0.1117886178861788,1.0,0.0,0.3503048780487804,1,Moderate Education Engagement
Andhra Pradesh,Chittoor,7497,659,43,8199,28657.0,0.0,0.0803756555677521,1.0,0.0,0.3361690450054884,1,Low Education Engagement
Andhra Pradesh,Cuddapah,5519,413,2,5934,11074.0,0.0,0.0695989214694978,1.0,0.0,0.331319514661274,1,Low Education Engagement
Andhra Pradesh,Dr B R Ambedkar Konaseema,618,30,17,665,1752.0,0.0,0.0451127819548872,1.0,0.0,0.3203007518796992,1,Low Education Engagement
Andhra Pradesh,East Godavari,7161,507,10,7678,19090.0,0.0,0.0660328210471477,1.0,0.0,0.3297147694712165,1,Low Education Engagement
Andhra Pradesh,Eluru,568,45,16,629,2346.0,0.0,0.0715421303656597,1.0,0.0,0.3321939586645469,1,Low Education Engagement
Andhra Pradesh,Guntur,8769,925,35,9729,22026.0,0.0,0.0950765751875835,1.0,0.0,0.3427844588344125,1,Low Education Engagement
Andhra Pradesh,Hyderabad,3831,1008,1,4840,4382.0,0.0,0.2082644628099173,0.9053719008264464,0.0,0.3653305785123967,1,Moderate Education Engagement
Andhra Pradesh,Kakinada,858,84,27,969,3621.0,0.0,0.0866873065015479,1.0,0.0,0.3390092879256965,1,Low Education Engagement
Andhra Pradesh,Karim Nagar,71,11,0,82,82.0,0.0,0.1341463414634146,1.0,0.0,0.3603658536585366,1,Moderate Education Engagement
Andhra Pradesh,Karimnagar,552,107,0,659,967.0,0.0,0.1623672230652503,1.0,0.0,0.3730652503793626,1,Moderate Education Engagement
Andhra Pradesh,Khammam,869,264,0,1133,4648.0,0.0,0.233009708737864,1.0,0.0,0.4048543689320388,1,Moderate Education Engagement
Andhra Pradesh,Krishna,6163,540,34,6737,13459.0,0.0,0.0801543713819207,1.0,0.0,0.3360694671218643,1,Low Education Engagement
Andhra Pradesh,Kurnool,10923,823,24,11770,29378.0,0.0,0.0699235344095157,1.0,0.0,0.331465590484282,1,Low Education Engagement
Andhra Pradesh,Mahabubnagar,1597,643,0,2240,1711.0,0.0,0.2870535714285714,0.7638392857142857,0.0,0.3583258928571428,1,Moderate Education Engagement
Andhra Pradesh,Medak,1176,229,1,1406,1711.0,0.0,0.162873399715505,1.0,0.0,0.3732930298719772,1,Moderate Education Engagement
Andhra Pradesh,N T R,790,97,46,933,4718.0,0.0,0.1039657020364415,1.0,0.0,0.3467845659163987,1,Low Education Engagement
Andhra Pradesh,Nalgonda,951,216,0,1167,1623.0,0.0,0.1850899742930591,1.0,0.0,0.3832904884318766,1,Moderate Education Engagement
Andhra Pradesh,Nandyal,860,39,6,905,4798.0,0.0,0.0430939226519337,1.0,0.0,0.3193922651933701,1,Low Education Engagement
Andhra Pradesh,Nizamabad,453,71,0,524,728.0,0.0,0.1354961832061068,1.0,0.0,0.360973282442748,1,Moderate Education Engagement
Andhra Pradesh,Palnadu,759,76,25,860,3955.0,0.0,0.0883720930232558,1.0,0.0,0.3397674418604651,1,Low Education Engagement
Andhra Pradesh,Parvathipuram Manyam,464,36,8,508,1511.0,0.0,0.0708661417322834,1.0,0.0,0.3318897637795275,1,Low Education Engagement
Andhra Pradesh,Prakasam,6405,1157,61,7623,15519.0,0.0,0.151777515413879,1.0,0.0,0.3682998819362456,1,Moderate Education Engagement
Andhra Pradesh,Rangareddy,1549,423,0,1972,3649.0,0.0,0.2145030425963489,1.0,0.0,0.396526369168357,1,Moderate Education Engagement
Andhra Pradesh,Sri Potti Sriramulu Nellore,6467,2089,608,9164,10156.0,0.0,0.2279572239196857,1.0,0.0,0.4025807507638586,1,Moderate Education Engagement
Andhra Pradesh,Sri Sathya Sai,879,40,19,938,3953.0,0.0,0.0426439232409381,1.0,0.0,0.3191897654584221,1,Low Education Engagement
Andhra Pradesh,Srikakulam,4157,135,8,4300,24315.0,0.0,0.0313953488372093,1.0,0.0,0.3141279069767442,1,Low Education Engagement
Andhra Pradesh,Tirupati,802,689,228,1719,4768.0,0.0,0.4008144269924374,1.0,0.0,0.4803664921465969,2,High Education Engagement
Andhra Pradesh,Visakhapatanam,186,28,12,226,0.0,0.0,0.1238938053097345,0.0,0.0,0.0557522123893805,0,Critical - Severe Education Exclusion
Andhra Pradesh,Visakhapatnam,7688,460,30,8178,19864.0,0.0,0.0562484715089263,1.0,0.0,0.3253118121790168,1,Low Education Engagement
Andhra Pradesh,Vizianagaram,3695,158,3,3856,11069.0,0.0,0.0409751037344398,1.0,0.0,0.3184387966804979,1,Low Education Engagement
Andhra Pradesh,Warangal,858,201,0,1059,3605.0,0.0,0.1898016997167138,1.0,0.0,0.3854107648725212,1,Moderate Education Engagement
Andhra Pradesh,West Godavari,5568,343,24,5935,14258.0,0.0,0.0577927548441449,1.0,0.0,0.3260067396798652,1,Low Education Engagement
Andhra Pradesh,YSR Kadapa,738,52,33,823,4161.0,0.0,0.06318347509113,1.0,0.0,0.3284325637910085,1,Low Education Engagement
Arunachal Pradesh,Anjaw,23,11,3,37,128.0,0.0,0.2972972972972973,1.0,0.0,0.4337837837837838,1,Moderate Education Engagement
Arunachal Pradesh,Changlang,486,304,13,803,690.0,0.0,0.3785803237858032,0.8592777085927771,0.0,0.4281444582814445,2,Moderate Education Engagement
Arunachal Pradesh,Dibang Valley,7,3,0,10,28.0,0.0,0.3,1.0,0.0,0.435,1,High Education Engagement
Arunachal Pradesh,East Kameng,88,79,14,181,292.0,0.0,0.43646408839779,1.0,0.0,0.4964088397790055,2,High Education Engagement
Arunachal Pradesh,East Siang,80,86,2,168,423.0,0.0,0.5119047619047619,1.0,0.0,0.5303571428571429,2,High Education Engagement
Arunachal Pradesh,Kamle,3,25,2,30,64.0,0.0,0.8333333333333334,1.0,0.0,0.675,2,High Education Engagement
Arunachal Pradesh,Kra Daadi,18,59,4,81,145.0,0.0,0.7283950617283951,1.0,0.0,0.6277777777777778,2,High Education Engagement
Arunachal Pradesh,Kurung Kumey,19,44,12,75,106.0,0.0,0.5866666666666667,1.0,0.0,0.5640000000000001,2,High Education Engagement
Arunachal Pradesh,Leparada,0,2,1,3,8.0,0.0,0.6666666666666666,1.0,0.0,0.6,2,High Education Engagement
Arunachal Pradesh,Lohit,102,63,1,166,212.0,0.0,0.3795180722891566,1.0,0.0,0.4707831325301205,2,High Education Engagement
Arunachal Pradesh,Longding,141,719,37,897,263.0,0.0,0.8015607580824972,0.2931995540691193,0.0,0.4486622073578595,2,High Education Engagement
Arunachal Pradesh,Lower Dibang Valley,58,49,2,109,186.0,0.0,0.4495412844036697,1.0,0.0,0.5022935779816514,2,High Education Engagement
Arunachal Pradesh,Lower Siang,10,18,3,31,70.0,0.0,0.5806451612903226,1.0,0.0,0.5612903225806452,2,High Education Engagement
Arunachal Pradesh,Lower Subansiri,50,55,0,105,198.0,0.0,0.5238095238095238,1.0,0.0,0.5357142857142857,2,High Education Engagement
Arunachal Pradesh,Namsai,95,54,1,150,221.0,0.0,0.36,1.0,0.0,0.4619999999999999,2,High Education Engagement
Arunachal Pradesh,Pakke Kessang,2,1,1,4,14.0,0.0,0.25,1.0,0.0,0.4125,1,Moderate Education Engagement
Arunachal Pradesh,Papum Pare,201,241,5,447,770.0,0.0,0.5391498881431768,1.0,0.0,0.5426174496644296,2,High Education Engagement
Arunachal Pradesh,Shi Yomi,8,22,5,35,43.0,0.0,0.6285714285714286,1.0,0.0,0.5828571428571429,2,High Education Engagement
Arunachal Pradesh,Siang,39,60,4,103,175.0,0.0,0.5825242718446602,1.0,0.0,0.562135922330097,2,High Education Engagement
Arunachal Pradesh,Tawang,104,43,7,154,209.0,0.0,0.2792207792207792,1.0,0.0,0.4256493506493506,1,Moderate Education Engagement
Arunachal Pradesh,Tirap,59,39,1,99,96.0,0.0,0.3939393939393939,0.9696969696969696,0.0,0.4681818181818181,2,High Education Engagement
Arunachal Pradesh,Upper Siang,21,21,1,43,199.0,0.0,0.4883720930232558,1.0,0.0,0.5197674418604651,2,High Education Engagement
Arunachal Pradesh,Upper Subansiri,76,55,12,143,347.0,0.0,0.3846153846153846,1.0,0.0,0.473076923076923,2,High Education Engagement
Arunachal Pradesh,West Kameng,157,103,18,278,375.0,0.0,0.3705035971223021,1.0,0.0,0.4667266187050359,2,High Education Engagement
Arunachal Pradesh,West Siang,110,80,2,192,521.0,0.0,0.4166666666666667,1.0,0.0,0.4875,2,High Education Engagement
Assam,Bajali,19,8,2,29,57.0,0.0,0.2758620689655172,1.0,0.0,0.4241379310344827,1,Moderate Education Engagement
Assam,Baksa,2120,1179,400,3699,1346.0,0.0,0.3187347931873479,0.363882130305488,0.0,0.252595296025953,0,Low Education Engagement
Assam,Barpeta,10545,3306,532,14383,4978.0,0.0,0.2298546895640686,0.3461030383091149,0.0,0.2072655217965653,0,Low Education Engagement
Assam,Biswanath,789,464,76,1329,844.0,0.0,0.3491346877351392,0.6350639578630549,0.0,0.3476297968397291,2,Low Education Engagement
Assam,Bongaigaon,2324,626,225,3175,3318.0,0.0,0.1971653543307086,1.0,0.0,0.3887244094488189,1,Moderate Education Engagement
